City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
511,gargalianoi,37.0667,21.6333,24.21,59,25,1.66,GR,1728659135
512,queenstown,-31.8976,26.8753,31.35,12,24,4.41,ZA,1728659136
513,alvaraes,-3.2208,-64.8042,32.93,32,100,2.15,BR,1728659138
514,zelenchukskaya,43.858,41.5894,13.13,81,100,1.31,RU,1728659139
515,trakai,54.6333,24.9333,11.19,91,100,3.78,LT,1728659141
516,tranby,59.8167,10.25,8.05,71,66,1.92,NO,1728659142
517,lisala,2.15,21.5167,27.44,68,99,0.28,CD,1728659143
518,envira,-7.3,-70.2167,28.74,67,100,0.95,BR,1728659144
519,jutai,-5.1833,-68.9,34.13,48,100,0.89,BR,1728659145
520,cooper's town,26.8667,-77.5167,26.82,72,57,9.87,BS,1728659146
521,okhotsk,59.3833,143.3,5.33,88,100,11.27,RU,1728659017
522,jieshou,33.2634,115.3611,21.63,43,99,2.38,CN,1728658867
523,putian,25.4394,119.0103,16.65,81,1,2.17,CN,1728659149
524,kendari,-3.945,122.4989,24.03,95,100,0.68,ID,1728659150
525,vilyuysk,63.7553,121.6247,-7.77,97,87,1.06,RU,1728659152
526,caleta de carquin,-11.0925,-77.6267,19.22,76,62,3.47,PE,1728659153
527,san fernando de apure,7.8878,-67.4724,31.11,64,84,3.92,VE,1728659154
528,burlington,39.8835,-74.6413,15.59,62,0,3.09,US,1728658872
529,saldanha,-33.0117,17.9442,16.49,76,72,5.78,ZA,1728659156
530,labytnangi,66.6572,66.4183,-7.32,90,47,1.72,RU,1728659157
531,fortaleza,-3.7227,-38.5247,31.07,91,40,11.32,BR,1728658630
532,sangin,32.0728,64.8359,24.85,13,0,3.24,AF,1728659159
533,sonseca,39.6775,-3.9745,18.16,49,95,5.51,ES,1728659161
534,fort st. john,56.2499,-120.8529,1.94,75,20,3.6,CA,1728659003
535,ratnagiri,16.9833,73.3,26.68,87,100,3.42,IN,1728659163
536,port moresby,-9.4431,147.1797,24.54,91,99,2.8,PG,1728659164
537,lorengau,-2.0226,147.2712,27.21,80,36,3.2,PG,1728659165
538,magadan,59.5667,150.8,0.98,84,100,2.22,RU,1728659166
539,sao gabriel da cachoeira,-0.1303,-67.0892,30.89,74,0,2.06,BR,1728659167
540,champerico,14.3,-91.9167,25.91,83,98,1.44,GT,1728659168
541,igarka,67.4667,86.5833,-10.01,90,17,4.9,RU,1728659169
542,alpena,45.0617,-83.4327,17.28,72,0,4.63,US,1728659170
543,newman,37.3138,-121.0208,17.73,34,3,0.34,US,1728659172
544,pokhara,28.2333,83.9833,18.08,88,0,2.3,NP,1728659173
545,great falls,47.5002,-111.3008,7.6,88,0,1.54,US,1728659174
546,churapcha,62.0025,132.4325,0.41,100,100,1.33,RU,1728659175
547,novyy urgal,51.0736,132.5642,3.71,96,100,2.93,RU,1728659176
548,aginskoye,51.1,114.53,-0.09,47,74,2.05,RU,1728659177
549,nagqu,31.5,92.0,3.83,35,100,1.22,CN,1728659178
550,ilek,51.5271,53.3831,4.48,64,91,5.21,RU,1728659179
551,molchanovo,57.5817,83.7692,-4.08,70,47,4.09,RU,1728659181
552,mbuji-mayi,-6.15,23.6,29.26,45,66,4.09,CD,1728659182
553,yigo village,13.5361,144.8886,25.41,93,0,2.06,GU,1728659183
554,baiti,13.745,-14.7482,31.79,60,75,2.07,SN,1728659184
555,greymouth,-42.4667,171.2,6.21,91,95,2.32,NZ,1728659185
556,jieshi,22.8134,115.8257,24.1,76,3,8.39,CN,1728659187
557,nar'yan-mar,67.6713,53.087,-0.59,60,100,11.5,RU,1728659188
558,shubarshi,48.5872,57.1869,6.33,58,5,5.77,KZ,1728659189
559,yinchuan,38.4681,106.2731,17.86,46,99,3.78,CN,1728659123
560,kropachevo,55.0112,57.9896,-3.7,87,83,6.28,RU,1728659191
561,iquique,-20.2208,-70.1431,18.52,67,1,2.07,CL,1728658855
562,alesund,62.4723,6.1549,5.97,78,75,3.6,NO,1728658994
563,yacimiento rio turbio,-51.5732,-72.3508,5.66,57,75,6.69,AR,1728659195
564,guerrero negro,27.9769,-114.0611,20.78,76,0,1.25,MX,1728659196
565,ryotsu-minato,38.0833,138.4333,16.2,75,21,1.48,JP,1728659197
566,vieira de leiria,39.8695,-8.9324,24.06,69,75,8.75,PT,1728659198
567,kargasok,59.0556,80.8572,-3.75,77,13,4.07,RU,1728659199
568,senillosa,-39.0,-68.4167,16.88,34,28,6.02,AR,1728659200
569,crane,31.3974,-102.3501,24.57,29,0,3.9,US,1728659201
570,miles city,46.4083,-105.8406,11.54,62,0,4.63,US,1728659202
571,corigliano calabro,39.595,16.5177,23.04,37,10,5.74,IT,1728659203
